ID,isocountrycode,rd2015,rd2014,rd2013,rd2012,rd2011,ns2015,ns2014,ns2013,ns2012,ns2011,emp2015,emp2014,emp2013,emp2012,emp2011,pubs.2011,pubs.2012,pubs.2013,pubs.2014,pubs.2015
ID0001,CH,7106.088095,7234.432237,7173.519143,6737.002563,6657.240398,36536.16948,43211.53856,41998.40582,41094.1929,42466.82727,118700,133413,135696,127724,123686,1411,1512,1608,1597,1684
ID0002,CH,7590.277289,7249.475128,7076.233189,6893.227158,6566.256383,39159.22633,38603.67873,38048.98719,37007.07286,34593.01997,91747,88509,85080,82089,80129,1934,2032,2123,1969,1889
ID0003,US,6559.354378,6159.092654,5933.580021,5557.972731,5473.134792,50811.43033,53898.22417,51709.08694,48744.83482,47153.94217,127100,126500,128100,127600,117900,1053,1296,1355,1531,1384
ID0004,US,5083.028322,5331.741028,5164.962788,5736.349939,5713.87151,28640.43547,30626.51242,31928.79495,34273.80262,34839.38889,68000,70000,76000,83000,86000,780,591,503,669,783
ID0005,FR,5246,4812,4757,4909,4795,34542,33770,32951,34947,33389,115631,113496,112128,111974,113719,925,940,957,956,979
ID0006,US,5562.326712,6025.672235,4750.199526,5323.762008,6114.857671,35422.39893,35969.13011,37404.10507,39632.36994,44257.12533,97900,78300,77700,91500,103700,2320,2228,2010,1723,1529
ID0007,GB,3696.970651,3717.270214,4154.316212,4222.380606,4470.755935,28566.7406,27471.7374,31649.94286,31561.57856,32703.14979,101192,98702,99817,98681,97401,1653,1428,1555,1418,1367
ID0008,US,2891.960321,2860.707834,4010.804249,3827.206246,3640.635289,14472.27352,14223.48692,16759.55376,16389.96488,17610.39853,41275,39135,37925,38350,38080,755,1003,1051,922,867
ID0009,DE,4436,3689,3259,3182,3045,47271,42239,40157,39741,36528,116800,118900,113200,110000,111800,786,856,843,864,891
ID0010,GB,4118.630651,3666.161109,3202.81351,3228.917492,3421.0718,17916.04333,18921.77099,18643.31858,20283.51875,24357.19009,61500,57500,51500,51700,57200,1374,1505,1402,1561,1580
ID0011,US,2857.66257,3080.271438,2960.62657,2450.87382,2296.425263,15707.35513,14547.90157,13542.16552,12519.03447,11298.67333,17900,17900,20000,18000,17800,856,890,944,942,933
ID0012,DE,3004,2654,2743,2795,2516,14798,13317,14065,14691,13171,47501,47743,47492,46228,44094,487,559,658,637,739
ID0013,US,4176.639534,3016.461672,2705.38764,2727.866069,2763.396488,12007.83866,11514.03723,11880.93714,12777.17384,15404.24954,25000,25000,28000,28000,27000,987,948,941,966,869
ID0014,JP,2381.938148,2631.28663,2352.03007,2233.1202,1941.09965,12440.70699,12242.77551,11649.1802,10723.559,10390.71741,31168,31328,31225,30481,30305,327,301,261,297,337
ID0015,US,3083.897211,2390.690897,2059.314098,1891.813549,1848.306914,16575.31304,14473.21514,13624.82813,13327.53279,12648.79374,28000,26000,25000,21500,NA,19,32,285,544,632
ID0016,JP,1384.087935,1190.318046,1714.717788,1324.645487,1096.473229,9951.351945,8430.983926,10003.90225,8387.697585,7950.551628,30638,29482,28288,25330,24595,166,172,168,178,182
ID0017,US,2680.953012,1668.770407,1603.437065,1153.604554,1060.665678,6711.627695,5561.891252,4708.795711,3992.975955,3511.058025,6971,6012,5100,4700,4460,159,191,203,299,351
ID0018,DK,1732.973667,1720.919108,1567.386677,1397.7874,1205.012236,14458.4608,11896.92841,11195.69567,10452.72759,8888.020209,40638,40957,37978,34286,32136,512,533,597,594,583
ID0019,US,2185.484645,2069.466734,1537.05754,1270.422047,871.898362,23666.89891,18048.01226,8122.462681,7035.397901,6080.331529,8000,7000,6100,5000,4500,203,247,302,373,438
ID0020,DE,1706.5,1699.9,1504.3,1511.3,1517.1,12844.7,11500.8,11095.1,11172.9,10276.4,49613,39639,38154,38847,40676,256,275,315,276,283
ID0021,JP,1553.854056,1422.685239,1318.420416,1252.960766,1307.264869,9451.996485,8589.102147,4379.234018,4295.037181,4225.969194,17217,17113,17649,17454,17085,240,252,291,294,293
ID0022,JP,1436.735745,1312.998944,1316.630019,1260.487318,1274.294029,6792.338726,6331.146955,4256.867305,3680.456048,3473.988904,15249,16428,32791,32229,31929,251,279,274,203,224
ID0023,US,1612.646931,1189.182006,1070.988353,1128.997201,1093.466781,20907.12633,14691.47354,12330.50571,12029.58482,11735.18991,88000,92000,49000,46000,45000,141,164,174,157,176
ID0024,US,994.1272221,975.2742668,1052.860588,3134.059973,2994.281854,14795.89057,14681.32199,15842.21634,15585.52719,15522.44257,74000,77000,69000,70000,91000,787,813,437,285,262
ID0025,US,1459.503481,1372.925128,1047.098134,967.963914,884.346335,7804.950107,7035.986765,5026.61096,4000.044333,3660.818017,7350,7550,6850,5950,5000,281,289,345,388,445
ID0026,IL,1105.794321,1078.965136,1031.10727,930.316897,783.119446,14249.88196,14699.44976,14729.89668,14732.07201,13278.22527,42888,43009,45000,45948,45754,203,216,176,197,194
ID0027,JP,842.1652813,908.3620139,898.944295,828.932907,861.745366,NA,3776.939601,4134.18383,3950.289454,4462.053627,9877,3514,10419,10495,10730,190,226,190,209,220
ID0028,FR,734,862,895,862,750,3898.396,3989.129,4189.012,3925.495,3890.732,21222,21359,21054,NA,NA,54,63,72,75,65
ID0029,US,427.8155082,970.1984898,850.554731,817.924754,685.954625,7227.906749,12088.32513,11064.46261,10289.31938,10073.96153,50000,66000,61000,51000,48500,201,246,234,326,201
ID0030,BE,940,768,781,753,732,3782,2938,3049,3070,2876,7788,8684,8732,9048,8506,14,12,6,11,10
ID0031,US,1941.846364,787.3976724,754.69511,681.168895,654.484825,NA,NA,4568.48681,4094.409501,3782.176878,NA,NA,11400,10800,10000,160,163,210,158,167
ID0032,GB,651.5847721,618.3021317,645.493454,632.151419,528.968181,4652.819947,4366.690826,3577.913222,3394.38773,3091.436522,5548,5016,5000,5300,5251,126,174,194,206,158
ID0033,US,635.1972621,592.4156694,624.320225,642.44799,648.973985,5421.655173,5351.319024,5179.464999,5256.326723,5526.792976,25000,24000,23000,24000,24000,122,96,122,126,138
ID0034,US,716.3654663,582.8666832,508.3354265,546.8054643,216.0714696,748.55822,420.8652889,878.816379,1107.27492,1022.8604,1950,1830,1800,2200,2000,117,112,95,113,103
ID0035,US,490.1750565,501.776797,501.051423,490.174764,511.249378,4017.840218,4076.573923,3988.833398,3990.283619,4069.100241,18000,16000,16000,15000,16000,73,88,63,64,63
ID0036,JP,560.5965832,510.2878056,459.966625,436.436684,422.506022,5540.05623,5265.816745,4911.787448,5122.262325,5843.220553,33336,31540,30702,30697,34112,38,32,35,50,31
ID0037,IE,1941.847258,787.3980116,447.320728,291.857016,222.318909,10928.14834,9471.617139,6292.219723,4288.956674,3324.197024,31200,21600,19200,17700,6686,46,32,25,22,38
ID0038,DE,464.182,450.874,420.12,400.053,369.553,4510.862,4287.237,4189.937,4162.987,4237.094,25059,24317,24264,23736,22619,122,111,123,149,189
ID0039,US,485.0992795,443.0428078,406.061935,390.087023,405.618892,7455.591612,6124.287328,5840.040754,5589.429479,5499.265602,49517,30619,30000,29600,29369,90,88,93,75,66
ID0040,US,453.1943939,445.2181408,388.65928,341.527092,335.001096,7211.954306,7015.448721,6541.222702,6277.282444,6023.493735,27000,26000,25000,22010,21241,32,27,42,42,32
ID0041,IE,NA,NA,368.356184,451.743902,401.711271,NA,NA,7421.506968,8594.010804,8392.430058,NA,NA,38500,43400,41300,88,72,59,72,77
ID0042,US,305.9968546,308.8972772,359.654856,383.583506,353.128861,138412.0939,129827.4952,99781.74424,88513.52555,88696.25342,68000,70400,42800,43500,37700,31,77,72,89,62
ID0043,JP,342.8167061,333.7829437,357.555947,365.110043,369.090232,2134.370875,1886.806739,1995.0319,1948.10974,1840.49314,5896,6059,6165,6082,6132,59,71,91,76,73
ID0044,DE,464,369,348,305,267,27995,23231,20331,19290,16522,222305,216275,178337,169324,149351,485,437,449,511,615
ID0045,AU,335.508874,335.5088496,338.191583,309.477203,228.197744,4285.043633,3958.090789,3868.320017,3589.587503,3347.400563,16000,14000,12196,11285,10515,91,125,127,136,125
ID0046,JP,298.6244944,284.7243574,305.8448914,312.9240928,305.6314133,NA,934.9985396,986.4535881,983.4166926,1003.883021,3116,2913,2858,2858,2754,35,38,38,52,57
ID0047,US,487.2021012,506.1999746,330.812132,282.025241,213.710396,6837.289436,5597.566713,5009.89281,4927.931384,4444.80107,35000,25000,20000,20000,18000,2,18,18,22,19
ID0048,CH,356.9365291,355.7976996,329.643476,374.528755,372.267614,1663.372016,1592.45665,1452.44973,1405.808407,1460.846047,2547,2470,2396,2433,2570,8,15,8,17,19
ID0049,US,NA,339.3519383,305.199051,291.639482,249.148001,NA,3236.677876,2902.472701,2967.225077,2941.846206,NA,19000,17000,16000,15000,6,13,18,17,31
ID0050,US,263.9404151,287.1439481,289.319128,296.570234,309.622225,3455.154059,3469.656034,3307.229436,3144.079552,3069.39316,9000,10000,9800,9300,NA,9,1,47,110,86
ID0051,US,501.9943665,501.1241976,286.781241,272.931629,246.682625,12301.79867,12246.83439,9491.915257,9071.061066,8381.408377,52000,51000,50000,38900,39300,377,384,334,311,375
ID0052,FR,192.6,185.8,267.646,275.335,206.27,1443.9,1274.8,1233.966,1247.696,1159.819,4635,4531,4602,4835,4580,51,38,56,54,67
ID0053,US,460.3048326,334.6698969,257.254738,219.141475,155.444859,645.2726805,544.5873494,397.712286,363.079554,320.033363,2158,1681,1341,1089,1002,20,29,26,49,48
ID0054,US,NA,7.373640509,251.448777,260.126901,235.128713,NA,74.77289621,2644.405114,2243.49364,3297.630422,NA,55,60,57,57,7,9,10,12,12
ID0055,DE,233,232.244065,250.876164,233.22915,206.674085,NA,1154.27502,972.90701,946.574184,910.389422,5257,5448,4369,4394,4718,43,34,31,35,29
ID0056,FR,279.9,256.7,235.7,218.6,204.5,2407,2068,1940,1886,1698,15022,13485,12612,12330,NA,39,41,74,58,62
ID0057,US,277.7900354,251.250954,234.210723,211.224717,178.59474,1808.209376,1684.360293,1483.213728,1377.420091,1217.170649,9800,9100,8600,8200,7800,12,10,21,27,26
ID0058,DE,275.361,242.627,228.586,202.527,192.095,6129.77,5429.574,5169.545,5047.846,4609.439,54770,54017,49889,46559,43676,33,40,54,39,55
ID0059,US,514.4459729,362.3502833,222.578499,156.317167,95.362195,1888.223203,1619.704323,1124.897425,822.35808,568.074121,2924,2273,1774,1373,1008,9,10,7,10,17
ID0060,US,177.7232633,175.874943,217.060407,125.724751,130.530784,1062.839469,934.3192734,809.936936,664.256416,538.889869,750,740,706,623,543,41,32,76,49,95
ID0061,US,197.085178,229.4251134,211.949828,144.804586,131.897618,2476.979279,2409.978849,2211.224768,2144.949659,2100.210335,14900,13900,13000,12200,12100,15,9,47,19,21
ID0062,DK,382.6045759,316.8280942,210.056608,338.528729,388.631517,1955.087947,1804.245567,2044.032984,1982.945093,2144.372524,5257,5811,5518,5541,5736,153,168,187,255,205
ID0063,JP,228.2392062,202.1841811,207.479406,186.807213,167.484704,3615.154233,3370.925394,3218.29963,2770.252913,2662.774036,20697,19934,19263,18893,18112,47,54,47,42,41
ID0064,US,291.1516566,281.3829412,200.669282,167.518676,142.783703,1609.57391,1349.691122,1030.511229,832.801123,765.379615,4600,3700,3000,2400,2200,73,84,76,110,116
ID0065,IT,236,236,197.981,169.377,150.341,NA,1341.651,1106.808,1056.932,1015.003,4165,3981,3858,3822,3776,36,33,49,46,57
ID0066,DK,237.252015,210.9954535,185.139178,193.712917,178.30698,1875.780557,1669.074512,1573.549052,1504.959139,1407.968715,6485,6260,6162,5950,5751,80,86,75,75,63
ID0067,GB,160.9746483,170.4010797,167.500548,123.993912,121.09347,3360.164514,3347.837389,3154.956211,2999.782543,3096.222252,14686,14242,11036,10477,10743,37,32,66,38,47
ID0068,DE,227.823,208.823,165.901,161.211,132.306,2608.92,2434.656,2374.164,2373.495,2255.847,13936,13737,13334,12516,11924,7,9,10,12,8
ID0069,US,213.5662266,167.3142825,158.528755,123.484159,118.480171,244.2188456,207.9313744,195.24618,152.862015,68.724532,759,657,582,538,483,0,0,0,1,0
ID0070,US,139.926126,159.7658775,152.963531,155.202672,135.188895,1464.318944,1577.148284,1546.439021,1500.424228,1503.537853,7770,7600,7750,7380,7030,38,62,65,52,45
ID0071,US,203.9128238,170.0044443,151.94475,95.454284,113.280403,2975.658437,2044.491736,1526.172905,999.548281,323.271707,4300,2925,2340,1950,1704,45,67,87,95,124
ID0072,US,177.8052012,170.2850627,150.973827,134.683493,123.794507,2247.19957,2211.443464,2133.925803,2035.396324,1882.870035,7300,6800,6400,6100,5700,32,41,40,32,54
ID0073,JP,149.8872007,148.4290816,150.627432,160.660539,166.858065,1997.773012,2000.480249,2038.001416,1963.706848,1867.727825,6517,6609,6381,6370,6003,47,34,27,41,38
ID0074,US,194.909845,136.5383973,148.067584,163.584951,172.648833,4349.070937,3388.661137,3352.476337,3242.47706,3228.047359,17500,10000,9500,9300,8700,10,10,12,14,19
ID0075,FR,214,164.368,148,148.977,139.859,6716,5670,5065,4989,4189.541,60883,58032,55129,50668,48700,22,19,24,22,44
ID0076,IN,208.9203614,205.0079689,145.28688,89.899332,69.246149,NA,1722.469953,1526.824293,1362.032281,1133.254062,21669,19857,18421,16617,15200,68,94,79,78,60
ID0077,US,132.5408701,117.8515626,144.867671,107.88558,93.089699,167.344024,145.534849,107.984195,58.872455,51.830906,435,438,445,433,423,10,15,21,8,10
ID0078,US,155.8263608,147.3425508,143.315209,94.961934,84.617506,1961.425336,1835.038354,1807.177915,1452.144189,1297.475923,5290,5351,5615,6157,5019,36,36,36,26,26
ID0079,IE,NA,NA,142.049166,166.847949,177.317816,NA,NA,0.145022,479.080572,611.050701,NA,NA,364,902,1273,35,32,38,13,7
ID0080,HU,117.0560044,146.7838318,141.051438,130.608662,96.536837,1227.706452,1188.997447,1181.533157,1098.414581,1035.092225,11465,11602,11643,10982,10752,68,82,63,81,81
ID0081,SE,136.4705876,144.259362,138.840884,143.581793,117.958312,3412.893484,3010.373867,2854.365402,2737.084363,2466.852592,15424,14858,14723,13617,12427,37,25,31,42,32
ID0082,US,105.6486767,126.3143327,138.133569,137.916036,124.50149,1177.435291,1311.65325,1333.768433,1298.963125,1197.665174,6000,6100,6200,6400,6000,185,239,256,226,253
ID0083,US,NA,NA,137.771014,139.221235,118.918138,NA,NA,2785.874916,2574.142622,2608.947931,NA,NA,16000,15000,15000,12,0,6,1,4
ID0084,SE,152.951045,160.4012626,135.5674,100.913618,87.819681,1266.614116,1223.497032,1207.125543,1167.053581,1021.327091,3617,3844,3775,3336,3162,19,35,21,32,41
ID0085,US,NA,NA,132.289177,92.089046,70.794723,NA,NA,764.587069,671.712728,546.713088,NA,NA,873,762,669,49,71,50,100,36
ID0086,JP,137.6444843,120.3533012,131.112111,115.129379,118.613766,NA,1114.430114,1023.714271,819.905177,787.884625,3463,3230,3072,3050,1927,11,16,15,23,31
ID0087,US,69.86517314,137.1192116,129.622946,93.450804,113.723446,26.95382716,18.2082617,22.723516,34.406498,210.018133,115,98,227,174,200,27,43,21,22,23
ID0088,ES,66.3,100.6,126.7,159.5,144.5,684.985,786.396,692.891,682.882,768.418,1889,2644,2969,2804,2792,43,53,49,48,55
ID0089,US,145.3847614,137.7710856,126.386777,126.241755,105.431081,1728.95474,1545.719073,1642.448015,1579.87097,1274.236853,3211,2978,2792,2362,1924,0,0,0,1,0
ID0090,US,NA,NA,122.978757,108.984123,91.944024,NA,NA,2337.321501,2213.690144,2057.936387,NA,NA,NA,NA,8004,17,17,12,12,12
ID0091,US,291.2459214,175.9597804,122.825759,38.752086,62.90987,546.5531644,370.8906402,257.375831,215.400629,68.490322,692,588,481,413,368,33,40,17,40,69
ID0092,ES,215.605,171.918,122.499,124.575,84.475,3934.563,3355.384,2741.732,2620.944,1795.613,14749,13980,11779,11259,11259,27,41,48,40,44
ID0093,CH,127.3892862,128.1797975,121.634755,115.645984,108.163071,1685.225377,1655.256153,1587.119395,1460.194546,1317.519791,10894,10184,9529,8952,8223,4,4,7,8,15
ID0094,IE,134.2180519,121.0210219,120.150826,104.488437,102.60315,2426.874107,1842.071931,1598.506313,1490.973195,NA,5700,5500,5500,NA,NA,17,7,8,33,29
ID0095,US,119.5990881,51.41399389,117.905884,104.557323,38.107462,86.14609063,76.43539821,33.036764,0.404612,18.345298,459,379,307,300,150,23,28,31,40,49
ID0096,CA,242.4771288,178.3773007,113.685015,57.321443,47.63034,7574.872376,5991.954574,4183.60173,2571.696099,1786.273702,22000,16800,17200,7000,6900,49,45,38,30,34
ID0097,US,73.74451663,86.30850917,111.740993,112.247846,99.435866,1786.177603,1877.097691,2196.680499,2043.959881,1730.496019,9200,9800,17600,17400,14500,53,65,40,51,68
ID0098,US,63.95479304,136.1758414,110.579366,83.532741,76.697848,2008.194998,3338.338436,2944.529115,2566.746494,2300.956479,13300,13500,10220,9900,8800,1,1,0,0,0
ID0099,IN,260.5885311,109.7815974,109.775824,73.20575,45.590465,NA,1874.979996,1316.612852,937.816148,671.011706,NA,16023,14000,10510,11200,3,3,2,2,1
ID0100,DE,145.474,142.834,109.197,121.637,129.988,NA,1045.242,1031.032,966.223,837.211,3254,3181,2885,2882,2882,41,34,40,15,21
ID0101,US,NA,NA,108.747737,89.358279,75.665291,NA,NA,677.13583,533.278238,391.913577,NA,NA,555,525,490,9,9,11,16,16
ID0102,US,89.62807393,115.423891,106.5405,91.670657,79.892686,224.0643837,525.2761941,498.777476,405.038079,351.48431,614,727,571,538,421,11,13,20,28,37
ID0103,NL,106.721841,118.6477344,105.916905,88.808646,94.725548,928.8570784,975.1125671,944.082396,909.61934,848.195946,4559,4015,4015,3999,3938,46,43,56,30,38
ID0104,IN,202.876736,119.6295714,104.820466,79.878497,58.648946,NA,1476.107756,1298.777078,1108.410498,829.748341,16351,15000,15000,13000,11000,12,8,4,8,8
ID0105,US,74.10417217,111.814288,103.307957,163.962008,132.17751,2370.183476,2086.280607,489.23212,2195.172994,1979.63967,6406,5062,3371,4629,4566,18,23,21,18,6
ID0106,CH,74.86980553,86.80174888,101.842449,115.188876,108.291582,3083.925108,2778.644188,2732.428884,2679.485646,2592.491086,6421,6348,6352,6089,5926,11,13,30,34,29
ID0107,GB,123.4496838,123.4496716,99.978235,88.474158,85.836365,NA,149.1720359,124.173336,108.95557,106.348823,258,280,271,262,255,16,17,23,36,37
ID0108,KY,115.3434116,115.3434034,98.393157,84.384746,69.657024,NA,959.186954,880.274839,768.65639,638.636083,8277,8300,7900,6800,6800,0,0,0,0,0
ID0109,FI,103.4,101.8,97.7,100,82.1,1015.6,1015.3,1006.9,980.4,917.9,3401,3450,3540,3495,3328,34,27,39,37,43
ID0110,SI,115,108.37,97.235,101.102,92.932,1164.607,1191.614,1200.827,1143.301,1075.627,10564,10499,10048,9461,8948,22,10,18,9,11
ID0111,JP,103.0440073,94.46739092,95.882617,87.192308,101.625658,1114.458985,1079.392201,1037.293739,983.148018,948.868812,2900,2942,2949,2826,2718,4,1,16,10,5
ID0112,IE,246.8169181,191.639581,92.904795,96.781962,86.682621,455.6126395,448.6906976,313.908354,417.335954,282.776456,1500,1300,1250,1230,1200,20,15,9,20,20
ID0113,JP,122.3927324,101.1747271,91.31022,83.453134,81.972614,1743.154815,1524.479741,1270.754553,1002.463642,927.859198,6496,5903,5401,4848,4596,46,27,44,30,49
ID0114,US,93.6589663,76.53328871,90.77007,85.489089,75.098254,30.54602725,8.475096805,3.450076,98.439565,17.773911,313,287,241,226,222,23,24,19,20,21
ID0115,US,111.6649231,109.3677635,86.964689,87.177147,90.517006,379.0800705,326.4000062,226.774714,204.399976,198.233636,1292,1280,1353,877,811,8,9,13,15,11
ID0116,US,86.03514915,83.28987275,85.726926,87.103185,79.568561,1333.271078,1217.397524,1127.527401,1098.14882,992.32473,5250,4340,4100,3900,3700,6,6,14,17,19
ID0117,SE,NA,NA,84.546197,76.193168,67.049988,NA,NA,1223.605843,1216.720239,1783.033017,NA,NA,7243,7291,9898,0,0,0,0,0
ID0118,DK,96.99079548,86.40766196,84.263779,82.120345,79.842945,1428.738725,1252.040323,1233.680676,1146.067779,1077.209937,10803,9799,9120,8025,7392,14,29,20,19,31
ID0119,JP,92.63976444,81.10092256,82.365124,86.20759,96.123632,635.354271,600.8506177,646.93222,614.312573,593.619722,1726,1746,1726,1753,1730,15,8,12,10,20
ID0120,US,NA,NA,82.304404,77.275762,52.457401,NA,NA,51.003554,18.979045,3.920673,NA,NA,353,269,201,16,8,8,15,24
ID0121,AU,92.00808938,82.27013389,81.998199,80.168117,76.70144,744.4591834,527.6595585,527.659393,459.628824,500.746844,2934,2632,2536,2531,2390,13,16,21,20,28
ID0122,KY,123.1034381,98.01306701,80.685396,48.927545,32.76039,1360.736777,1157.619882,925.963991,778.712352,540.766575,15259,13880,9072,10364,8653,3,7,8,2,8
ID0123,US,21.49736663,40.12981661,79.55841,73.614678,69.07331,NA,NA,NA,0.025379,0.036256,192,287,265,246,250,13,9,6,2,6
ID0124,JP,89.64449988,93.06256825,78.219667,76.153825,96.158063,822.7201567,778.9944384,767.116026,737.030479,710.870032,2420,2445,2452,2444,2297,25,29,16,20,20
ID0125,JP,97.12921965,99.76990545,77.799613,71.009878,69.157507,490.9067475,482.8042546,484.777389,430.321792,444.968612,1908,1883,1883,1897,1893,12,19,13,11,25
ID0126,US,85.95828727,80.28863836,75.075051,71.78885,58.985572,1480.91746,1442.495176,1380.768652,1336.843627,1342.313137,6600,6200,6000,5900,5700,106,112,103,126,112
ID0127,IT,76.736,85.267,74.725,63.407,55.956,1047.676,987.356,941.63,828.317,762.036,3929,3923,3961,3369,3207,5,6,4,3,6
ID0128,US,78.85292385,73.88155807,74.235373,75.697196,14.663187,108.44398,55.42458301,16.591256,108.944242,47.76376,474,464,534,530,276,18,37,27,33,22
ID0129,DE,88.993,83.005,73.8,66.588,59.538,2115.129,2062.247,2014.411,1837.544,1715.396,10441,10363,9825,7761,7900,8,3,7,3,7
ID0130,US,NA,86.35709171,73.064319,62.351535,33.745197,NA,948.895454,795.784952,761.371203,671.552479,NA,NA,NA,NA,819,1,0,1,1,0
ID0131,US,56.45206942,104.0773544,72.337033,51.831631,11.463454,79.08495966,119.6396862,NA,34.162861,67.270801,222,195,151,154,190,0,2,0,1,1
ID0132,US,55.15049436,25.91474111,72.041913,55.787834,48.15822,64.72196003,74.509504,34.650135,35.473136,24.809659,426,306,254,230,218,10,24,31,35,45
ID0133,US,86.12941317,79.88040066,71.715613,68.460592,59.27199,1161.549558,1077.374968,998.519349,937.81309,883.684309,6800,6400,5700,5400,5100,66,64,73,75,73
ID0134,US,NA,70.89772571,70.659852,63.613228,48.084984,NA,346.2839988,364.600836,356.503526,306.513676,NA,1048,1030,855,773,13,15,13,19,19
ID0135,US,25.55001248,37.42297735,70.074384,22.192735,9.145919,97.93132024,54.62551052,39.735662,30.690473,40.668872,216,153,170,152,135,15,17,15,18,28
ID0136,US,87.5709341,88.77678735,69.126244,56.623887,33.753898,200.7419131,201.8853984,150.771521,80.430718,60.013054,625,585,569,396,330,9,13,12,17,12
ID0137,IT,NA,72.791,68.199,68.331,63.597,NA,746.865,738.466,731.09,743.43,NA,3911,3733,3727,3750,8,15,13,13,12
ID0138,DK,54.34257691,64.12654239,65.64269,48.271893,35.351536,136.7196461,163.0110688,162.4323,136.19331,70.144037,409,422,426,450,439,0,0,0,1,0
ID0139,JP,67.05951109,61.75707537,65.624917,62.312683,64.826124,579.8351377,550.8485969,526.906795,481.623537,463.464785,1843,1812,1790,1806,1823,10,13,12,5,13
ID0140,KR,115.4649367,92.89185749,65.245558,54.954777,48.447538,905.5992569,523.17665,501.636851,463.073924,416.48313,NA,NA,NA,NA,NA,9,12,14,16,23
ID0141,US,NA,48.35475098,63.50011,59.307521,65.402075,NA,16.57168647,1.611196,0.789645,1.340729,NA,106,149,230,225,24,39,34,26,31
ID0142,JP,78.00772174,73.52590297,63.242312,56.610959,59.957623,900.1976827,885.37527,803.509277,670.331324,680.584787,4459,4148,3977,3981,4359,9,20,13,16,37
ID0143,FR,81.3,65.9,62.6,70.322,79.267,502.416,501.9,477.176,465.701,432.418,2111,2016,1950,1887,1931,24,20,15,13,33
ID0144,DE,66.430193,58.807515,62.302025,50.250218,50.748354,NA,1234.566156,1278.306715,1122.399011,1037.104016,6534,6203,5883,5482,4999,3,4,5,3,0
ID0145,CH,NA,NA,62.263,30.557,24.392,NA,NA,566.788,580.485,569.179,NA,NA,2487,2496,2472,9,3,3,6,4
ID0146,US,NA,NA,61.913568,68.768764,53.535641,NA,NA,112.821408,94.731349,73.703867,NA,NA,207,149,86,5,5,8,8,8
